"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
202,135,"MWI","Malawi",23,"Ntchisi",202,"Ntchisi Boma","",NA,"","Boma","Headquarter","",""
203,135,"MWI","Malawi",23,"Ntchisi",203,"SC Chilooko","",NA,"","Sub-chief","Sub-chief","",""
204,135,"MWI","Malawi",23,"Ntchisi",204,"SC Nthondo","",NA,"","Sub-chief","Sub-chief","",""
205,135,"MWI","Malawi",23,"Ntchisi",205,"TA Chikho","",NA,"","Traditional Authority","Traditional Authority","",""
206,135,"MWI","Malawi",23,"Ntchisi",206,"TA Kalumo","",NA,"","Traditional Authority","Traditional Authority","",""
207,135,"MWI","Malawi",23,"Ntchisi",207,"TA Kasakula","",NA,"","Traditional Authority","Traditional Authority","",""
208,135,"MWI","Malawi",23,"Ntchisi",208,"TA Kasukula","",NA,"","Traditional Authority","Traditional Authority","",""
209,135,"MWI","Malawi",24,"Phalombe",209,"Lake Chilwa","",NA,"","Water body","Water body","",""
210,135,"MWI","Malawi",24,"Phalombe",210,"TA Mkhumba","",NA,"","Traditional Authority","Traditional Authority","",""
211,135,"MWI","Malawi",24,"Phalombe",211,"TA Nazombe","",NA,"","Traditional Authority","Traditional Authority","",""
212,135,"MWI","Malawi",25,"Rumphi",212,"Lake Malawi","",NA,"","Water body","Water body","",""
213,135,"MWI","Malawi",25,"Rumphi",213,"Nyika National Park - Rumphi","",NA,"","National Park","National Park","",""
214,135,"MWI","Malawi",25,"Rumphi",214,"Rumphi Boma","",NA,"","Boma","Headquarter","",""
215,135,"MWI","Malawi",25,"Rumphi",215,"SC Chapinduka","",NA,"","Sub-chief","Sub-chief","",""
216,135,"MWI","Malawi",25,"Rumphi",216,"SC Kachulu","",NA,"","Sub-chief","Sub-chief","",""
217,135,"MWI","Malawi",25,"Rumphi",217,"SC Mwahenga","",NA,"","Sub-chief","Sub-chief","",""
218,135,"MWI","Malawi",25,"Rumphi",218,"SC Mwalweni","",NA,"","Sub-chief","Sub-chief","",""
219,135,"MWI","Malawi",25,"Rumphi",219,"SC Mwankhunikira","",NA,"","Sub-chief","Sub-chief","",""
220,135,"MWI","Malawi",25,"Rumphi",220,"TA Chikulamayembe","",NA,"","Traditional Authority","Traditional Authority","",""
221,135,"MWI","Malawi",25,"Rumphi",221,"TA Katumbi","",NA,"","Traditional Authority","Traditional Authority","",""
222,135,"MWI","Malawi",25,"Rumphi",222,"TA Mwamlowe","",NA,"","Traditional Authority","Traditional Authority","",""
223,135,"MWI","Malawi",25,"Rumphi",223,"Vwaza Marsh Game Reserve - Rumphi","",NA,"","Reserve","Reserve","",""
224,135,"MWI","Malawi",26,"Salima",224,"Lake Malawi","",NA,"","Water body","Water body","",""
225,135,"MWI","Malawi",26,"Salima",225,"Salima Town","",NA,"","Town","Town","",""
226,135,"MWI","Malawi",26,"Salima",226,"SC Kambalame","",NA,"","Sub-chief","Sub-chief","",""
227,135,"MWI","Malawi",26,"Salima",227,"SC Kambwiri","",NA,"","Sub-chief","Sub-chief","",""
228,135,"MWI","Malawi",26,"Salima",228,"SC Mwanza","",NA,"","Sub-chief","Sub-chief","",""
229,135,"MWI","Malawi",26,"Salima",229,"TA Karonga","",NA,"","Traditional Authority","Traditional Authority","",""
230,135,"MWI","Malawi",26,"Salima",230,"TA Khombedza","",NA,"","Traditional Authority","Traditional Authority","",""
