fnid,clust
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020513,20503239
MW2012C3020515,20505317
MW2012C3020515,20505317
MW2012C3020515,20505317
MW2012C3020515,20505317
MW2012C3020515,20505317
MW2012C3020515,20505317
MW2012C3020515,20505317
MW2012C3020515,20505317
MW2012C3020515,20505317
MW2012C3020515,20505317
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
MW2012C3020513,20508349
